username,total_reports,valid_reports,avg_vote_count,verified_status,cleared_status,specialization,valid_percentage
bobrov,85,82,16.83529411764706,False,False,,96.47
linkks,62,60,13.258064516129032,True,False,Information Disclosure,96.77
geeknik,61,54,7.852459016393443,True,False,Memory Corruption - Generic,88.52
jobert,51,50,38.509803921568626,True,True,Information Disclosure,98.04
sp1d3rs,45,43,18.244444444444444,True,False,Improper Authentication - Generic,95.56
nyymi,45,38,8.266666666666667,False,False,Business Logic Errors,84.44
ryat,42,42,5.857142857142857,False,False,,100.0
haxta4ok00,40,38,93.95,False,False,Information Disclosure,95.0
netfuzzer,38,38,26.473684210526315,True,True,Cross-Site Request Forgery (CSRF),100.0
circuit,35,35,24.085714285714285,False,False,,100.0
japz,35,27,37.25714285714286,True,False,Information Disclosure,77.14
ooooooo_q,34,29,18.61764705882353,False,False,,85.29
guido,34,31,6.588235294117647,True,False,Memory Corruption - Generic,91.18
zombiehelp54,33,31,37.0,True,False,Cross-site Scripting (XSS) - Generic,93.94
bl4de,33,32,6.121212121212121,False,False,Path Traversal,96.97
luchua,32,32,10.5625,True,True,,100.0
pisarenko,31,30,13.451612903225806,False,False,Information Disclosure,96.77
alyssa_herrera,30,29,19.733333333333334,True,True,Information Disclosure,96.67
bigbear_,30,30,4.066666666666666,True,False,Cross-site Scripting (XSS) - Reflected,100.0
isox,29,29,1.6896551724137931,False,False,,100.0
nahamsec,29,27,43.44827586206897,True,True,Cross-site Scripting (XSS) - Generic,93.1
lu3ky-13,29,28,40.58620689655172,True,True,Cross-site Scripting (XSS) - Reflected,96.55
chalker,29,29,4.586206896551724,False,False,Out-of-bounds Read,100.0
rtod,28,21,18.178571428571427,False,False,Improper Access Control - Generic,75.0
4lemon,28,26,4.035714285714286,True,True,Cross-site Scripting (XSS) - Generic,92.86
shahmeer-amir,27,22,4.37037037037037,False,False,Violation of Secure Design Principles,81.48
fms,27,26,3.888888888888889,False,False,Memory Corruption - Generic,96.3
ahsan,26,17,4.153846153846154,False,False,Violation of Secure Design Principles,65.38
nagli,25,25,30.88,True,True,Cross-site Scripting (XSS) - Reflected,100.0
cablej,25,25,24.32,True,True,Violation of Secure Design Principles,100.0
edoverflow,25,24,18.72,False,False,UI Redressing (Clickjacking),96.0
indoappsec,24,24,11.25,True,True,Improper Authentication - Generic,100.0
ston3,24,24,4.791666666666667,False,False,Uncontrolled Resource Consumption,100.0
executor,24,24,18.791666666666668,False,False,,100.0
metnew,23,19,48.17391304347826,False,False,,82.61
haquaman,23,16,3.9565217391304346,False,False,Uncontrolled Resource Consumption,69.57
s_p_q_r,22,21,7.5,False,False,Cross-site Scripting (XSS) - Generic,95.45
ysx,22,22,10.681818181818182,False,False,Cross-site Scripting (XSS) - Reflected,100.0
filedescriptor,21,21,135.8095238095238,False,False,Improper Authentication - Generic,100.0
ihsinme,21,20,5.904761904761905,False,False,,95.24
ddworken,21,14,3.761904761904762,False,False,Cross-site Scripting (XSS) - Generic,66.67
footstep,21,17,6.380952380952381,False,False,Business Logic Errors,80.95
vakzz,21,21,266.5238095238095,True,True,Command Injection - Generic,100.0
yaworsk,20,18,21.95,False,False,Improper Authentication - Generic,90.0
fransrosen,20,20,156.4,True,True,Privilege Escalation,100.0
mik317,19,18,29.0,False,False,Code Injection,94.74
ashesh,19,11,2.473684210526316,False,False,Improper Authentication - Generic,57.89
iframe,19,15,22.789473684210527,False,False,,78.95
ngalog,19,19,267.7368421052632,False,False,,100.0
ishahriyar,19,19,7.315789473684211,False,False,Cross-site Scripting (XSS) - Generic,100.0
danila,18,18,22.88888888888889,False,False,Cross-Site Request Forgery (CSRF),100.0
bugra,18,18,47.77777777777778,True,True,Insecure Direct Object Reference (IDOR),100.0
minhrau,18,18,8.944444444444445,False,False,Memory Corruption - Generic,100.0
madrobot,18,18,7.833333333333333,True,False,Cross-site Scripting (XSS) - Generic,100.0
stefanovettorazzi,18,18,19.38888888888889,False,False,Cross-site Scripting (XSS) - Generic,100.0
maskedpersian,18,18,16.61111111111111,False,False,Cross-site Scripting (XSS) - Stored,100.0
siddiki,18,10,5.222222222222222,True,True,Information Disclosure,55.56
porcupineyhairs,18,18,9.055555555555555,True,False,,100.0
act1on3,17,17,62.8235294117647,True,False,Cross-site Scripting (XSS) - Stored,100.0
jot,17,17,1.1176470588235294,False,False,Memory Corruption - Generic,100.0
johnleitch,17,17,0.5882352941176471,False,False,,100.0
smiegles,16,16,8.125,True,True,Cross-site Scripting (XSS) - Generic,100.0
r0hack,16,16,135.6875,False,False,Improper Restriction of Authentication Attempts,100.0
albinowax,16,16,289.75,True,True,Cross-site Scripting (XSS) - Generic,100.0
rijalrojan,16,16,48.3125,True,True,Information Disclosure,100.0
d3lla,16,16,3.75,False,False,,100.0
hhj4ck,16,16,1.875,False,False,Memory Corruption - Generic,100.0
korprit,16,15,4.4375,False,False,Cross-site Scripting (XSS) - Generic,93.75
ian,15,15,54.333333333333336,True,True,Business Logic Errors,100.0
imran_nisar,15,15,36.06666666666667,True,True,Improper Access Control - Generic,100.0
shewhoisdeath,15,8,13.066666666666666,True,False,Misconfiguration,53.33
chaosbolt,15,15,55.93333333333333,False,False,Code Injection,100.0
haxatron1,15,15,6.666666666666667,False,False,Path Traversal,100.0
strukt,15,14,4.733333333333333,False,False,Information Disclosure,93.33
un4gi,15,15,7.8,True,True,Cross-site Scripting (XSS) - Stored,100.0
anandpingsafe,15,12,55.8,True,True,Cross-Site Request Forgery (CSRF),80.0
faisalahmed,15,14,29.466666666666665,True,True,Information Disclosure,93.33
foobar7,15,14,16.6,True,True,Cross-site Scripting (XSS) - Stored,93.33
ahmd_halabi,14,13,22.0,True,False,Cross-Site Request Forgery (CSRF),92.86
ashish_r_padelkar,14,11,13.428571428571429,True,True,Violation of Secure Design Principles,78.57
bugdiscloseguys,14,12,20.642857142857142,True,False,Improper Authentication - Generic,85.71
healdb,14,14,77.85714285714286,True,True,Cross-Site Request Forgery (CSRF),100.0
artem,14,14,9.714285714285714,True,False,,100.0
lukasreschke,14,14,14.785714285714286,True,False,Cross-site Scripting (XSS) - Generic,100.0
locator,14,14,3.7857142857142856,False,False,Uncontrolled Resource Consumption,100.0
ryotak,14,14,56.357142857142854,True,True,,100.0
cliantech,14,11,4.714285714285714,False,False,Cross-site Scripting (XSS) - Generic,78.57
itly,14,14,2.5714285714285716,False,False,Privilege Escalation,100.0
bagipro,14,13,119.71428571428571,False,False,,92.86
fdeleite,14,14,12.357142857142858,False,False,Cross-site Scripting (XSS) - Reflected,100.0
jouko,14,14,55.714285714285715,False,False,Cross-site Scripting (XSS) - Generic,100.0
juliocesar,14,14,6.714285714285714,False,False,Cross-site Scripting (XSS) - Generic,100.0
konqi,14,13,5.428571428571429,True,True,SQL Injection,92.86
agarri_fr,14,13,11.785714285714286,True,True,Information Disclosure,92.86
jayesh25,14,14,38.642857142857146,True,True,Improper Restriction of Authentication Attempts,100.0
,14,14,2.0714285714285716,False,False,,100.0
what_web,14,13,38.0,True,True,Improper Authentication - Generic,92.86
dgaletic,13,13,6.6923076923076925,False,False,Uncontrolled Resource Consumption,100.0
gujjuboy10x00,13,13,12.615384615384615,False,False,,100.0
atom,13,12,4.6923076923076925,False,False,Cross-site Scripting (XSS) - Generic,92.31
cdl,13,12,30.76923076923077,True,True,,92.31
khizer47,13,9,14.384615384615385,True,True,Information Disclosure,69.23
anshuman_bh,13,10,4.923076923076923,True,True,Violation of Secure Design Principles,76.92
kwel,13,13,10.692307692307692,False,False,Cross-site Scripting (XSS) - Stored,100.0
imgnotfound,13,13,32.07692307692308,True,False,,100.0
palant,12,12,31.75,False,False,Command Injection - Generic,100.0
satishb3,12,12,3.0833333333333335,True,True,Privilege Escalation,100.0
internetwache,12,4,1.8333333333333333,False,False,Information Disclosure,33.33
prakharprasad,12,12,7.333333333333333,True,True,Cross-site Scripting (XSS) - Generic,100.0
xploiterr,12,12,23.25,True,False,Cross-site Scripting (XSS) - Stored,100.0
nishimunea,12,12,20.666666666666668,False,False,Cross-site Scripting (XSS) - DOM,100.0
ajxchapman,12,12,52.916666666666664,True,True,Path Traversal,100.0
ak1t4,12,10,45.083333333333336,True,True,Privilege Escalation,83.33
muon4,12,12,25.333333333333332,True,True,Violation of Secure Design Principles,100.0
bugs3ra,12,10,2.5833333333333335,False,False,Information Disclosure,83.33
paresh_parmar,12,11,20.75,True,True,Cross-site Scripting (XSS) - Generic,91.67
mr_r3boot,12,12,7.666666666666667,True,False,Violation of Secure Design Principles,100.0
simonscannell,12,12,44.166666666666664,False,False,Cross-site Scripting (XSS) - Stored,100.0
tolo7010,12,12,27.916666666666668,True,True,Cross-Site Request Forgery (CSRF),100.0
kurohiro,12,12,7.75,False,False,Cleartext Transmission of Sensitive Information,100.0
kiraak-boy,12,8,5.583333333333333,False,False,Violation of Secure Design Principles,66.67
maxarr,12,12,67.91666666666667,False,False,Cross-site Scripting (XSS) - Stored,100.0
jessforfun,12,12,5.5,False,False,,100.0
aliyugombe,12,11,6.083333333333333,True,True,,91.67
w2w,12,11,19.916666666666668,True,False,,91.67
meryem0x,12,12,5.75,False,False,Cross-Site Request Forgery (CSRF),100.0
holyvier,11,11,3.3636363636363638,False,False,Uncontrolled Resource Consumption,100.0
paulos__,11,7,11.363636363636363,False,False,Improper Authentication - Generic,63.64
rioncool22,11,10,44.81818181818182,True,False,Cross-site Scripting (XSS) - Stored,90.91
basant0x01,11,11,13.909090909090908,False,False,Information Disclosure,100.0
reactors08,11,11,2.6363636363636362,False,False,Cross-site Scripting (XSS) - Generic,100.0
elmahdi,11,11,51.72727272727273,True,False,Cross-site Scripting (XSS) - Stored,100.0
joaomatosf,11,11,15.363636363636363,False,False,Code Injection,100.0
malcolmx,11,10,25.545454545454547,True,True,Cross-Site Request Forgery (CSRF),90.91
dawidczagan,11,9,14.818181818181818,False,False,Violation of Secure Design Principles,81.82
melvin,11,11,2.8181818181818183,True,True,Cross-Site Request Forgery (CSRF),100.0
alexbirsan,11,11,329.8181818181818,True,True,Cross-site Scripting (XSS) - Stored,100.0
akhil-reni,11,11,6.636363636363637,False,False,Cross-site Scripting (XSS) - Generic,100.0
tungpun,11,11,7.636363636363637,True,False,Cross-site Scripting (XSS) - Generic,100.0
hussain_0x3c,11,11,11.272727272727273,True,True,Cross-site Scripting (XSS) - Generic,100.0
xaleraf4ra,11,11,9.909090909090908,False,False,Cross-Site Request Forgery (CSRF),100.0
hanno,11,10,12.454545454545455,False,False,Cryptographic Issues - Generic,90.91
sudi,11,11,48.72727272727273,True,True,Cross-site Scripting (XSS) - Reflected,100.0
brakhane,11,11,5.454545454545454,False,False,Improper Authentication - Generic,100.0
ctulhu,11,10,15.181818181818182,True,False,Business Logic Errors,90.91
cy1337,10,10,14.2,False,False,Use After Free,100.0
rbcafe,10,5,8.1,False,False,,50.0
seifelsallamy,10,10,50.1,False,False,Cross-site Scripting (XSS) - Reflected,100.0
ahmed_alwardani,10,9,17.1,True,False,Authentication Bypass Using an Alternate Path or Channel,90.0
orange,10,10,167.6,False,False,Code Injection,100.0
ibrahimatix0x01,10,7,14.2,True,False,,70.0
organdonor,10,10,59.4,False,False,Cross-site Scripting (XSS) - Stored,100.0
ahihi,10,10,7.3,False,False,Memory Corruption - Generic,100.0
gronke,10,10,3.6,False,False,Information Disclosure,100.0
csanuragjain,10,6,7.6,True,True,Business Logic Errors,60.0
sighook,10,3,7.1,False,False,Cross-site Scripting (XSS) - Stored,30.0
joaxcar,10,10,52.4,True,False,Cross-site Scripting (XSS) - Stored,100.0
deb0con,10,7,53.9,False,False,,70.0
miguel_santareno,10,10,7.7,True,False,Improper Access Control - Generic,100.0
michiel,10,10,75.3,True,True,,100.0
simon90,10,10,2.3,False,False,,100.0
amsda,10,10,5.2,True,True,Cross-site Scripting (XSS) - Generic,100.0
zuh4n,10,9,4.8,False,False,Information Disclosure,90.0
solov9ev,10,10,11.2,False,False,Cross-site Scripting (XSS) - Reflected,100.0
geekboy,10,8,105.0,False,False,Violation of Secure Design Principles,80.0
fuzzme,10,10,45.0,False,False,Cross-site Scripting (XSS) - Reflected,100.0
m7mdharoun,10,9,28.9,True,False,Privilege Escalation,90.0
flashdisk,10,10,49.0,False,False,Information Disclosure,100.0
povargek,10,10,9.0,False,False,Improper Authentication - Generic,100.0
nismo,10,10,8.2,True,True,Cross-site Scripting (XSS) - Generic,100.0
paramdham,9,9,11.222222222222221,True,True,Improper Authentication - Generic,100.0
gerben_javado,9,9,68.11111111111111,False,False,SQL Injection,100.0
pakt_,9,9,1.8888888888888888,False,False,,100.0
yvvdwf,9,9,88.55555555555556,True,True,Cross-site Scripting (XSS) - Stored,100.0
gregoryvperry,9,0,4.111111111111111,False,False,Cross-site Scripting (XSS) - Reflected,0.0
t-pwn,9,7,4.666666666666667,False,False,,77.78
hk755a,9,6,36.44444444444444,True,False,Violation of Secure Design Principles,66.67
apapedulimu,9,7,15.88888888888889,True,False,Cross-Site Request Forgery (CSRF),77.78
lmhu,9,9,21.77777777777778,False,False,Business Logic Errors,100.0
libnex,9,9,0.8888888888888888,False,False,,100.0
bombon,9,9,56.666666666666664,True,True,Cross-Site Request Forgery (CSRF),100.0
kunal94,9,8,56.111111111111114,True,True,Information Disclosure,88.89
supernatural,9,8,3.4444444444444446,False,False,Improper Authentication - Generic,88.89
0xelkomy,9,9,13.222222222222221,True,True,Cross-site Scripting (XSS) - Reflected,100.0
ali,9,9,144.44444444444446,True,True,Cross-site Scripting (XSS) - Stored,100.0
nickvergessen,9,9,13.333333333333334,False,False,Improper Restriction of Authentication Attempts,100.0
jlleitschuh,9,8,51.666666666666664,False,False,,88.89
tniessen,9,8,24.22222222222222,False,False,Privilege Escalation,88.89
jcamacho,9,9,2.888888888888889,True,False,Cross-site Scripting (XSS) - Generic,100.0
coolboss,9,5,27.77777777777778,True,True,,55.56
inhibitor181,9,8,24.11111111111111,True,True,Cross-site Scripting (XSS) - Generic,88.89
zeyu2001,9,9,11.666666666666666,True,True,HTTP Request Smuggling,100.0
codermak,9,9,10.555555555555555,True,False,Improper Access Control - Generic,100.0
tosun,9,9,17.0,True,False,Improper Access Control - Generic,100.0
