year_month,vulnerability_type,report_count,bounty_count,organization_count,bounty_percentage
2011-07,,1,0,1,0.0
2011-12,,1,0,1,0.0
2013-10,,1,0,1,0.0
2013-11,,7,5,3,71.43
2013-11,Uncontrolled Resource Consumption,2,2,1,100.0
2013-11,Violation of Secure Design Principles,2,1,1,50.0
2013-11,Code Injection,1,1,1,100.0
2013-11,Cross-site Scripting (XSS) - Generic,1,1,1,100.0
2013-11,Information Disclosure,1,0,1,0.0
2013-12,,4,4,2,100.0
2014-01,Cross-Site Request Forgery (CSRF),4,4,2,100.0
2014-01,Improper Authentication - Generic,2,2,2,100.0
2014-01,Violation of Secure Design Principles,2,1,1,50.0
2014-01,,1,1,1,100.0
2014-01,Server-Side Request Forgery (SSRF),1,1,1,100.0
2014-02,Cross-site Scripting (XSS) - Generic,10,6,3,60.0
2014-02,Information Disclosure,7,3,4,42.86
2014-02,,5,2,3,40.0
2014-02,Violation of Secure Design Principles,4,3,3,75.0
2014-02,Cryptographic Issues - Generic,3,1,2,33.33
2014-02,Improper Authentication - Generic,3,2,2,66.67
2014-02,Open Redirect,3,0,2,0.0
2014-02,Cross-Site Request Forgery (CSRF),2,1,2,50.0
2014-02,UI Redressing (Clickjacking),2,0,1,0.0
2014-02,Code Injection,1,0,1,0.0
2014-02,Command Injection - Generic,1,1,1,100.0
2014-02,Memory Corruption - Generic,1,1,1,100.0
2014-02,SQL Injection,1,1,1,100.0
2014-03,Cross-site Scripting (XSS) - Generic,15,5,7,33.33
2014-03,Violation of Secure Design Principles,9,3,4,33.33
2014-03,,8,6,4,75.0
2014-03,Information Disclosure,7,3,5,42.86
2014-03,Improper Authentication - Generic,6,1,4,16.67
2014-03,Open Redirect,6,3,4,50.0
2014-03,Cross-Site Request Forgery (CSRF),5,2,2,40.0
2014-03,Cryptographic Issues - Generic,3,2,3,66.67
2014-03,UI Redressing (Clickjacking),2,0,1,0.0
2014-03,Code Injection,1,1,1,100.0
2014-03,Command Injection - Generic,1,1,1,100.0
2014-03,SQL Injection,1,1,1,100.0
2014-04,Cross-site Scripting (XSS) - Generic,33,8,11,24.24
2014-04,Information Disclosure,30,2,9,6.67
2014-04,Cross-Site Request Forgery (CSRF),26,7,8,26.92
2014-04,Violation of Secure Design Principles,25,11,11,44.0
2014-04,,12,5,10,41.67
2014-04,Improper Authentication - Generic,8,3,4,37.5
2014-04,Cryptographic Issues - Generic,5,1,4,20.0
2014-04,Open Redirect,4,1,3,25.0
2014-04,SQL Injection,4,4,1,100.0
2014-04,UI Redressing (Clickjacking),4,1,3,25.0
2014-04,Uncontrolled Resource Consumption,4,1,3,25.0
2014-04,Memory Corruption - Generic,2,0,1,0.0
2014-04,Code Injection,1,1,1,100.0
2014-04,Command Injection - Generic,1,0,1,0.0
2014-04,Privilege Escalation,1,0,1,0.0
2014-05,Cross-site Scripting (XSS) - Generic,20,5,8,25.0
2014-05,Violation of Secure Design Principles,14,1,10,7.14
2014-05,Information Disclosure,7,1,6,14.29
2014-05,Improper Authentication - Generic,6,2,4,33.33
2014-05,,5,3,3,60.0
2014-05,Cross-Site Request Forgery (CSRF),4,1,4,25.0
2014-05,Cryptographic Issues - Generic,4,0,4,0.0
2014-05,Open Redirect,3,0,2,0.0
2014-05,Code Injection,2,0,2,0.0
2014-05,Command Injection - Generic,2,2,2,100.0
2014-05,UI Redressing (Clickjacking),2,0,2,0.0
2014-05,Uncontrolled Resource Consumption,2,1,2,50.0
2014-05,Memory Corruption - Generic,1,0,1,0.0
2014-05,Privilege Escalation,1,1,1,100.0
2014-06,,13,3,8,23.08
2014-06,Violation of Secure Design Principles,10,4,7,40.0
2014-06,Information Disclosure,8,2,7,25.0
2014-06,Cross-site Scripting (XSS) - Generic,7,1,5,14.29
2014-06,Improper Authentication - Generic,7,3,5,42.86
2014-06,Cross-Site Request Forgery (CSRF),6,2,4,33.33
2014-06,Command Injection - Generic,2,0,2,0.0
2014-06,Open Redirect,2,1,2,50.0
2014-06,Privilege Escalation,2,2,1,100.0
2014-06,SQL Injection,2,1,2,50.0
2014-06,UI Redressing (Clickjacking),2,1,2,50.0
2014-06,Cryptographic Issues - Generic,1,0,1,0.0
2014-06,Memory Corruption - Generic,1,1,1,100.0
2014-07,Cross-site Scripting (XSS) - Generic,8,3,7,37.5
2014-07,,6,3,4,50.0
2014-07,Cryptographic Issues - Generic,5,1,4,20.0
2014-07,Information Disclosure,5,1,4,20.0
2014-07,Memory Corruption - Generic,3,2,3,66.67
2014-07,Cross-Site Request Forgery (CSRF),2,2,2,100.0
2014-07,Improper Authentication - Generic,2,0,1,0.0
2014-07,Violation of Secure Design Principles,2,1,2,50.0
2014-07,SQL Injection,1,0,1,0.0
2014-07,UI Redressing (Clickjacking),1,1,1,100.0
2014-07,Uncontrolled Resource Consumption,1,0,1,0.0
2014-08,Improper Authentication - Generic,5,1,4,20.0
2014-08,Information Disclosure,4,0,4,0.0
2014-08,,2,0,2,0.0
2014-08,Cross-site Scripting (XSS) - Generic,2,0,2,0.0
2014-08,Open Redirect,2,1,2,50.0
2014-08,Cross-Site Request Forgery (CSRF),1,0,1,0.0
2014-08,Cryptographic Issues - Generic,1,0,1,0.0
2014-08,Privilege Escalation,1,1,1,100.0
2014-08,SQL Injection,1,0,1,0.0
2014-08,Violation of Secure Design Principles,1,1,1,100.0
2014-09,Cross-site Scripting (XSS) - Generic,6,6,2,100.0
2014-09,Information Disclosure,4,3,3,75.0
2014-09,,3,3,1,100.0
2014-09,Improper Authentication - Generic,3,1,3,33.33
2014-09,Violation of Secure Design Principles,2,1,2,50.0
2014-09,Cross-Site Request Forgery (CSRF),1,1,1,100.0
2014-09,Cryptographic Issues - Generic,1,0,1,0.0
2014-09,Memory Corruption - Generic,1,0,1,0.0
2014-09,Open Redirect,1,1,1,100.0
2014-10,,5,1,3,20.0
2014-10,Cross-site Scripting (XSS) - Generic,5,4,3,80.0
2014-10,Cryptographic Issues - Generic,5,2,3,40.0
2014-10,Violation of Secure Design Principles,5,1,3,20.0
2014-10,Information Disclosure,3,1,3,33.33
2014-10,Improper Authentication - Generic,2,1,2,50.0
2014-10,Memory Corruption - Generic,2,2,1,100.0
2014-10,Privilege Escalation,1,0,1,0.0
2014-10,SQL Injection,1,1,1,100.0
2014-11,Cross-site Scripting (XSS) - Generic,7,5,4,71.43
2014-11,Violation of Secure Design Principles,7,2,5,28.57
2014-11,,4,2,3,50.0
2014-11,Information Disclosure,4,1,4,25.0
2014-11,Cryptographic Issues - Generic,2,2,2,100.0
2014-11,Improper Authentication - Generic,2,1,1,50.0
2014-11,Command Injection - Generic,1,0,1,0.0
2014-11,Cross-Site Request Forgery (CSRF),1,0,1,0.0
2014-11,Memory Corruption - Generic,1,1,1,100.0
2014-11,Open Redirect,1,1,1,100.0
2014-11,UI Redressing (Clickjacking),1,1,1,100.0
2014-11,Uncontrolled Resource Consumption,1,1,1,100.0
2014-12,Cross-site Scripting (XSS) - Generic,8,4,6,50.0
2014-12,,7,7,3,100.0
2014-12,Violation of Secure Design Principles,4,2,3,50.0
2014-12,Information Disclosure,2,1,2,50.0
2014-12,Open Redirect,2,1,2,50.0
2014-12,Code Injection,1,1,1,100.0
2014-12,Cryptographic Issues - Generic,1,1,1,100.0
2014-12,SQL Injection,1,0,1,0.0
2014-12,Uncontrolled Resource Consumption,1,1,1,100.0
2015-01,Cross-site Scripting (XSS) - Generic,10,7,6,70.0
2015-01,,7,6,2,85.71
2015-01,Violation of Secure Design Principles,7,2,3,28.57
2015-01,Information Disclosure,5,2,4,40.0
2015-01,Cryptographic Issues - Generic,4,2,3,50.0
2015-01,Improper Authentication - Generic,4,2,2,50.0
2015-01,Privilege Escalation,4,3,2,75.0
2015-01,Code Injection,2,1,2,50.0
2015-01,Cross-Site Request Forgery (CSRF),2,0,2,0.0
2015-01,Open Redirect,2,0,2,0.0
2015-01,Command Injection - Generic,1,1,1,100.0
2015-01,Uncontrolled Resource Consumption,1,1,1,100.0
2015-02,Cross-site Scripting (XSS) - Generic,12,7,8,58.33
2015-02,,10,6,5,60.0
2015-02,Cross-Site Request Forgery (CSRF),6,4,6,66.67
2015-02,Improper Authentication - Generic,6,3,5,50.0
2015-02,Information Disclosure,6,3,4,50.0
2015-02,Memory Corruption - Generic,6,6,1,100.0
2015-02,Privilege Escalation,4,4,2,100.0
2015-02,Violation of Secure Design Principles,4,3,3,75.0
2015-02,Command Injection - Generic,1,1,1,100.0
2015-02,Cryptographic Issues - Generic,1,0,1,0.0
2015-02,Open Redirect,1,1,1,100.0
2015-03,Cross-site Scripting (XSS) - Generic,21,3,5,14.29
2015-03,,10,10,2,100.0
2015-03,Privilege Escalation,8,8,2,100.0
2015-03,Improper Authentication - Generic,4,4,2,100.0
2015-03,Open Redirect,4,3,2,75.0
2015-03,Cross-Site Request Forgery (CSRF),3,3,2,100.0
2015-03,Information Disclosure,3,2,2,66.67
2015-03,Violation of Secure Design Principles,3,2,3,66.67
2015-03,Cryptographic Issues - Generic,2,2,2,100.0
2015-03,Code Injection,1,0,1,0.0
2015-03,Command Injection - Generic,1,0,1,0.0
2015-03,UI Redressing (Clickjacking),1,0,1,0.0
2015-04,Cross-site Scripting (XSS) - Generic,8,5,3,62.5
2015-04,Improper Authentication - Generic,8,5,5,62.5
2015-04,Violation of Secure Design Principles,7,6,6,85.71
2015-04,,6,5,3,83.33
2015-04,Information Disclosure,4,3,4,75.0
2015-04,Code Injection,2,2,2,100.0
2015-04,Command Injection - Generic,2,2,2,100.0
2015-04,Cross-Site Request Forgery (CSRF),2,2,2,100.0
2015-04,Cryptographic Issues - Generic,2,0,2,0.0
2015-04,Memory Corruption - Generic,2,2,2,100.0
2015-04,Privilege Escalation,2,2,2,100.0
2015-04,Uncontrolled Resource Consumption,2,2,2,100.0
2015-04,Open Redirect,1,1,1,100.0
2015-05,,15,14,6,93.33
2015-05,Cross-site Scripting (XSS) - Generic,11,8,6,72.73
2015-05,Violation of Secure Design Principles,6,4,4,66.67
2015-05,Improper Authentication - Generic,5,3,4,60.0
2015-05,Code Injection,2,2,2,100.0
2015-05,Information Disclosure,2,2,2,100.0
2015-05,Privilege Escalation,2,2,1,100.0
2015-05,SQL Injection,2,1,2,50.0
2015-05,Uncontrolled Resource Consumption,2,2,1,100.0
2015-05,Command Injection - Generic,1,0,1,0.0
2015-05,Cross-Site Request Forgery (CSRF),1,0,1,0.0
2015-05,Open Redirect,1,0,1,0.0
2015-05,UI Redressing (Clickjacking),1,1,1,100.0
2015-06,Cross-site Scripting (XSS) - Generic,11,6,6,54.55
2015-06,,8,6,4,75.0
2015-06,Improper Authentication - Generic,7,6,5,85.71
2015-06,Violation of Secure Design Principles,4,3,3,75.0
2015-06,Cross-Site Request Forgery (CSRF),3,3,2,100.0
2015-06,Code Injection,2,2,2,100.0
2015-06,Command Injection - Generic,2,2,2,100.0
2015-06,Information Disclosure,2,2,2,100.0
2015-06,Memory Corruption - Generic,2,1,2,50.0
2015-07,,12,10,4,83.33
2015-07,Cross-site Scripting (XSS) - Generic,7,7,5,100.0
